Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year
"Hong Kong S.A.R., China",5.47200012207031,1.55167484283447,1.26279091835022,0.943062424659729,0.490968644618988,0.374465793371201,0.293933749198914,2017.0
Hungary,5.329399976348876,1.20407438685608,1.257584618385314,0.7365786905059813,0.23053670386219022,0.08948033248186113,0.03018738748192788,2017.0
Iceland,7.511000037384034,1.3865226040802,1.49281280140686,0.9177444244232177,0.6180345270652771,0.4191240441474914,0.14014531189441679,2017.0
India,4.2978000114440915,0.7307142496299744,0.5881165193481446,0.4989255233669282,0.4615394009990692,0.22371369789218898,0.08847337705183031,2017.0
Indonesia,5.2520000167846685,0.9209697184677124,1.131154939857482,0.5612031441059112,0.4661606926403046,0.5348529175872802,0.01290742709809542,2017.0
Iran,4.689199982452392,1.0884506213912961,0.6515182498054504,0.6911406377067566,0.30781852162265777,0.34109658264923104,0.0834182146999836,2017.0
Iraq,4.528400043487548,1.043188097091674,0.8681106395606994,0.5448620939979554,0.21642310653877259,0.17414945280265798,0.1130911509375572,2017.0
Ireland,6.964400047302246,1.460415327857972,1.445056223068238,0.878932524848938,0.5721920684051514,0.38829966457176196,0.299791630662918,2017.0
Israel,7.142199964141847,1.303722484680176,1.321917992744446,0.90268879996109,0.41749972076606756,0.3199365309906006,0.12087442001199722,2017.0
Italy,6.022400045013429,1.311831323783874,1.334672656333924,0.9287248695335387,0.2438161425361634,0.172571929635048,0.02811961828315258,2017.0
Ivory Coast,4.2731999656677235,0.5466917841262818,0.7863380060501098,0.11145043393683433,0.4283992385463714,0.181253493982315,0.1315163550891876,2017.0
Jamaica,5.661999974060057,0.8558578618927001,1.290791612861634,0.6894244768333435,0.49593944781112675,0.1743136674642562,0.03603955620384216,2017.0
Japan,5.9258000152587895,1.33774503565979,1.326999565727234,0.9790991742172241,0.4934771091957092,0.095572553630352,0.1648421473169326,2017.0
Jordan,5.179599993133544,0.9097444788856507,1.129033778587342,0.6736200116653441,0.407252229850769,0.1330640920448304,0.13194065443754202,2017.0
Kazakhstan,5.838399953460694,1.190505253929138,1.2972438031387319,0.6367163101272584,0.4446288566474914,0.1528688846120834,0.1064285772771836,2017.0
Kenya,4.449399994659425,0.49057189242935184,0.972022145111084,0.41216166993522646,0.4431347532100678,0.3915120618724822,0.059578263843059545,2017.0
Kosovo,5.606199961090089,0.8782828764305114,1.014490700645446,0.609754410041809,0.3177475881004334,0.28379028950119023,0.03987032361125946,2017.0
Kuwait,6.148600003814698,1.555662490341186,1.184643749717712,0.6951431416244506,0.5059975185203551,0.1718439595804214,0.18218791006183618,2017.0
Kyrgyzstan,5.173400037384034,0.5423880152168274,1.27074571823883,0.6151655593147278,0.4679666777400969,0.338840074705124,0.03747583580064774,2017.0
Laos,4.79275,0.68877,0.8379325,0.481,0.5726475,0.3371775,0.20118,2017.0
Latvia,5.676199980926514,1.185349724960328,1.27391698839569,0.697091394165039,0.3058755824890136,0.1353569572134018,0.07121254532957079,2017.0
Lebanon,5.1495999809265145,1.0350615061416621,0.994894849510192,0.7872522153244018,0.3217911970024108,0.2199841517391204,0.05538876595354081,2017.0
